user_id,age,gender,education,city,country,has_instagram,has_spotify,account_age_days,total_matches,total_messages_received,total_messages_sent,total_likes_given,total_passes_given,total_conversations,avg_messages_per_conversation,engaging_conversation_ratio,match_rate,messages_per_match,response_rate,age_group
00b74e27ad1cbb2ded8e907fcc49eaaf,48,M,Has high school and/or college education,Trondheim,Norway,False,False,3222,3408,3261,3360,23341,24229,739,8.56021650879567,0.6048714479025711,0.07164179104477612,0.9568661971830986,0.9705357142857143,"(43, 48]"
024610702baf540af5637873cd1534e9,27,M,Has high school and/or college education,Richmond,VA,False,False,3029,888,1509,2088,45068,49559,464,4.495689655172414,0.8448275862068966,0.00938421380789838,1.6993243243243243,0.7227011494252874,"(23, 28]"
0a5e3dd8489fe67485ddb7d6adb26ebd,26,M,Has no high school or college education,,,False,False,1945,548,1152,1291,6679,5500,303,4.254125412541254,0.594059405940594,0.04499548402988751,2.102189781021898,0.8923315259488769,"(23, 28]"
048dd37565ad9cbc24c163ffedffbf58,26,M,Has no high school or college education,Edmonton,Alberta,False,False,1859,94,224,371,6724,7899,47,7.8936170212765955,0.9361702127659575,0.006428229501470287,2.382978723404255,0.6037735849056604,"(23, 28]"
0eb998fdde77f9c123c07eace18a5cc1,27,M,Has no high school or college education,,,True,False,2536,1905,6052,5527,60169,96673,809,6.8244746600741655,0.6180469715698393,0.012145981306027722,3.1769028871391076,1.0949882395512935,"(23, 28]"
10a8c197447a3991d64136b315d6e87e,30,M,Has high school and/or college education,Ciudad de México,CDMX,False,False,3888,203,2246,2265,22552,5477,122,22.688524590163933,0.7213114754098361,0.007242498840486639,11.064039408866995,0.9916114790286976,"(28, 33]"
1a6bc90a124bed79741b441929c4d365,48,F,Has high school and/or college education,Boston,USA,False,False,3222,3295,3164,3460,25138,22748,258,10.127906976744185,0.6046511627906976,0.06880925531470576,0.9602427921092564,0.9144508670520232,"(43, 48]"
1c2f3d5f9d2ca312136fdf6e018a177d,30,M,Has no high school or college education,,,False,False,1848,87,207,289,774,480,79,3.6582278481012658,0.5569620253164557,0.06937799043062201,2.3793103448275863,0.7162629757785467,"(28, 33]"
1e74b4cb4b126a8f34b2d9b1fda0a92f,31,F,Has high school and/or college education,,,False,True,3914,1781,3448,2296,4532,115619,663,8.119155354449472,0.6862745098039216,0.014823014373579912,1.935991016282987,1.5017421602787457,"(28, 33]"
2057ea510896a025db5790675c90b7d6,28,M,Has high school and/or college education,,,True,True,3269,5075,8674,7538,52133,45064,1580,4.789240506329114,0.49683544303797467,0.05221354568556643,1.7091625615763546,1.1507031042716902,"(23, 28]"
1f4873925d958cab973bc21385bc956e,23,M,Has no high school or college education,Sint-Martens-Latem,Flanders,True,False,1838,112,840,798,1931,4848,62,12.596774193548388,0.5806451612903226,0.016521610857058562,7.5,1.0526315789473684,"(18, 23]"
2fa5e046d9413c4b0060b3c4db72365b,26,M,Has no high school or college education,Cabramatta,NSW,True,True,2103,314,3019,4403,22172,78556,295,14.92542372881356,0.7491525423728813,0.0031173060122309587,9.614649681528663,0.6856688621394503,"(23, 28]"
